Formación,Año,Total
Analfabeto,2019,2.5
Analfabeto,2018,2.6
Analfabeto,2017,3.0
Analfabeto,2016,3.1
Analfabeto,2015,3.4
Analfabeto,2014,3.8
Primaria incompleta,2019,8.2
Primaria incompleta,2018,8.8
Primaria incompleta,2017,9.0
Primaria incompleta,2016,8.9
Primaria incompleta,2015,10.0
Primaria incompleta,2014,9.6
Primaria,2019,12.7
Primaria,2018,12.7
Primaria,2017,13.0
Primaria,2016,13.3
Primaria,2015,13.3
Primaria,2014,14.6
ESO,2019,31.2
ESO,2018,30.9
ESO,2017,31.6
ESO,2016,32.1
ESO,2015,31.0
ESO,2014,30.6
Bachillerato,2019,12.4
Bachillerato,2018,12.5
Bachillerato,2017,12.2
Bachillerato,2016,11.8
Bachillerato,2015,12.1
Bachillerato,2014,11.7
FP,2019,8.1
FP,2018,8.1
FP,2017,7.3
FP,2016,7.4
FP,2015,7.4
FP,2014,7.3
Superior,2019,24.9
Superior,2018,24.3
Superior,2017,23.9
Superior,2016,23.4
Superior,2015,22.8
Superior,2014,22.4
